ProjectID,ProjectTitle,ProjectBudget,ProjectLocation,ProjectImplementor,ProjectTheme,ProjectAdoptionDate,ProjectStartDate,ProjectEndDate,ProjectLinks,Comments,multiple countries?,DE implementing?,Region
T05-EUTF-HoA-DJ-29,Professionnaliser les jeunes et les professionnels du secteur dans la filière transport-logistique-portuaire,10000000,Djibouti,Agence Française de Développement,Greater economic and employment opportunities,2016-12-15,2017-07-03,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5526/document/Djibouti-Professionaliser-les-jeunes_en.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-DJ-41,Solutions pérennes pour les populations hôtes les réfugiés et les migrants les plus vulnérables au Djibouti,20500000,Djibouti,"International Organization for Migration, World Food Programme","Strengthening resilience, Improved migration management",2017-12-12,2018-01-31,,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/6754/document/T05-EUTF-HOA-DJ-41_-_Solutions_perennes_incl._2_riders.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-DJ-70,Autonomisation et épanouissement des réfugiés via l'éducation l'accès aux services de protection sociale et les opportunités économiques,7890000,Djibouti,"United Nations High Commissioner for Refugees, World Food Programme","Greater economic and employment opportunities, Improved migration management",2018-12-12,,2022-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7609/document/T05-EUTF-HOA-DJ-70_-_Autonomisation_et_%C3%A9panouissement.._incl._1_rider.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ER-103,Provision of international air services for humanitarian and development actors in Eritrea,450000,Eritrea,WORLD FOOD PROGRAM - WFP - KENYA OFFICE,"Strengthening resilience, Improved governance and conflict prevention",2021-02-22,,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/9639/document/T05-EUTF-HOA-ER-103_Provision_of_international_air_services_for_humanit.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ER-66,Reconnecting Eritrea and Ethiopia through rehabilitation of the main arterial roads in Eritrea,20000000,Eritrea,The United Nations Office for Project Services (UNOPS),"Greater economic and employment opportunities, Strengthening resilience",2019-01-30,2019-04-10,2021-12-30,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/7690/document/T05-EUTF-HOA-ER-66%20-%20Eritrea%20road%20rehabilitation.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ER-86,Reconnecting Eritrea and Ethiopia through rehabilitation of the main arterial roads in Eritrea – Phase 2,15000000,Eritrea,The United Nations Office for Project Services (UNOPS),Greater economic and employment opportunities,2019-12-12,,2023-12-12,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8585/document/T05-EUTF-HOA-ER-86_-_Reconnecting_Eritrea_and_Ethiopia_Roads_phase_II_i.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ER-88,Strengthening Eritrea's National Statistics and Macroeconomic Statistics Systems (SENSS),1017284,Eritrea,United Nations Development Programme,"Greater economic and employment opportunities, Improved governance and conflict prevention",2020-09-01,,2024-09-01,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/8591/document/T05-EUTF-HOA-ER-88_-_Strengthening_Eritrea_National_Statistics_and_Macr.pdf,,FALSE,FALSE,HOA
T05-EUTF-HOA-ET-02,Stemming Irregular Migration in Northern & Central Ethiopia-SINCE,19945000,Ethiopia,Embassy of Italy in Ethiopia,Greater economic and employment opportunities,2015-12-15,2015-12-15,,"https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5456/document/SINCE_PES_Case_Study.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5456/document/SINCE_Apprenticeship_Case_Study_-_3_out_of_4.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5456/document/SINCE_Programme_Decent_Work_Case_Study_-_2_out_of_4.pdf, https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5456/document/T05-EUTF-HOA-ET-02_Since_incl._2_addenda.pdf",,FALSE,FALSE,HOA
T05-EUTF-HOA-REG-09,Better Migration Management Programme,40000000,"Djibouti, Eritrea, Kenya, South Sudan, Sudan, Somalia, Uganda, Ethiopia",GIZ,Improved migration management,2015-12-16,,2019-09-16,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5493/document/T05-EUTF-HOA-REG-09_-_Better_Migration_Management_incl._2_addenda.pdf,,TRUE,TRUE,HOA
T05-EUTF-HoA-REG-10,Research and Evidence Facility,6600000,"Ethiopia, Djibouti, Eritrea, Kenya, Sudan, Somalia, South Sudan, Tanzania, Uganda","International Migration Institute, University of Oxford, Sahan Research, School of Oriental and African Studies, University of London",,2015-12-16,2015-12-16,2024-12-31,https://storage.googleapis.com/akvo-rsr-production-media-files/db/project/5501/document/T05-EUTF-HOA-REG-10_-_Research_and_Evidence_Facility_incl._3_riders_-_C.pdf,,TRUE,FALSE,HOA
