
"Year","Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2015,Austria,AUT,-,-,0,5,0,,0,0
2015,"Brunei Darussalam",BRN,-,-,0,5,0,,0,0
2015,"Cayman Islands",CYM,-,-,6,0,0,,0,0
2015,"Curacao ",CUW,-,-,35,0,0,,0,0
2015,Cyprus,CYP,-,-,0,5,0,,0,0
2015,"Micronesia (Federated States of)",FSM,-,-,0,6,0,,0,0
2015,Guadeloupe,GLP,-,-,0,23,0,,0,0
2015,Iceland,ISL,-,-,0,5,0,,0,0
2015,Kiribati,KIR,-,-,0,5,0,,0,0
2015,Monaco,MCO,-,-,5,0,0,,0,0
2015,"Marshall Islands",MHL,-,-,5,6,0,,0,0
2015,Malta,MLT,-,-,0,5,0,,0,0
2015,Niue,NIU,-,-,18,18,0,,0,0
2015,"Turks and Caicos Islands",TCA,-,-,14,0,0,,0,0
2015,Samoa,WSM,-,-,0,9,0,,0,0
2016,Andorra,AND,-,-,0,5,0,,0,0
2016,Austria,AUT,-,-,0,5,0,,0,0
2016,"Brunei Darussalam",BRN,-,-,0,5,0,,0,0
2016,"Cayman Islands",CYM,-,-,6,0,0,,0,0
2016,"Curacao ",CUW,-,-,35,0,0,,0,0
2016,Cyprus,CYP,-,-,0,5,0,,0,0
2016,Denmark,DNK,-,-,0,5,0,,0,0
2016,Iceland,ISL,-,-,0,5,0,,0,0
2016,"China, Macao SAR",MAC,-,-,5,0,0,,0,0
2016,Monaco,MCO,-,-,5,0,0,,0,0
2016,"Marshall Islands",MHL,-,-,5,0,0,,0,0
2016,Niue,NIU,-,-,19,0,0,,0,0
2016,Switzerland,CHE,-,-,5,10,0,,0,0
2017,Andorra,AND,-,-,0,5,0,,0,0
2017,"Brunei Darussalam",BRN,-,-,0,9,0,,0,0
2017,"Cayman Islands",CYM,-,-,6,0,0,,0,0
2017,"Curacao ",CUW,-,-,35,0,0,,0,0
2017,Guadeloupe,GLP,-,-,0,37,0,,0,0
2017,Iceland,ISL,-,-,5,0,0,,0,0
2017,Monaco,MCO,-,-,5,0,0,,0,0
2017,"Marshall Islands",MHL,-,-,7,0,0,,0,0
2017,Malta,MLT,-,-,0,5,0,,0,0
2017,Niue,NIU,-,-,19,5,0,,0,0
2017,Palau,PLW,-,-,0,5,0,,0,0
2017,Switzerland,CHE,-,-,5,10,0,,0,0
2017,Samoa,WSM,-,-,0,11,0,,0,0
2018,"Cayman Islands",CYM,-,-,6,0,0,,0,0
2018,"Curacao ",CUW,-,-,35,0,0,,0,0
2018,Guadeloupe,GLP,-,-,0,11,0,,0,0
2018,Luxembourg,LUX,-,-,0,5,0,,0,0
2018,"China, Macao SAR",MAC,-,-,0,25,0,,0,0
2018,Monaco,MCO,-,-,5,0,0,,0,0
2018,"Marshall Islands",MHL,-,-,7,0,0,,0,0
2018,Niue,NIU,-,-,19,5,0,,0,0
2018,Switzerland,CHE,-,-,5,13,0,,0,0
2018,"Turks and Caicos Islands",TCA,-,-,14,0,0,,0,0
2018,Samoa,WSM,-,-,0,42,0,,0,0
2019,"Brunei Darussalam",BRN,-,-,0,10,0,,0,0
2019,"Cayman Islands",CYM,-,-,6,0,0,,0,0
2019,"Curacao ",CUW,-,-,35,0,0,,0,0
2019,Liechtenstein,LIE,-,-,0,14,0,,0,0
2019,Luxembourg,LUX,-,-,5,0,0,,0,0
2019,Monaco,MCO,-,-,5,0,0,,0,0
2019,"Marshall Islands",MHL,-,-,7,0,0,,0,0
2019,Niue,NIU,-,-,19,6,0,,0,0
2019,Nauru,NRU,-,-,0,15,0,,0,0
2019,"Turks and Caicos Islands",TCA,-,-,14,0,0,,0,0
2019,"Holy See",VAT,-,-,0,5,0,,0,0
2019,Samoa,WSM,-,-,0,84,0,,0,0
2020,Anguilla,AIA,-,-,0,5,0,,0,0
2020,Andorra,AND,-,-,0,5,0,,0,0
2020,"Cayman Islands",CYM,-,-,5,0,0,,0,0
2020,"Curacao ",CUW,-,-,35,0,0,,0,0
2020,Guadeloupe,GLP,-,-,0,86,0,,0,0
