"","iati_id","result_type","title","period_start","period_end","target","actual"
"1","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of jobs created",2015-01-01,2025-12-31,"",""
"2","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of projects by diaspora members",2015-01-01,2025-12-31,"",""
"3","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of migrants in transit and forcibly displaced people protected or assisted",2015-01-01,2025-12-31,"","3794.00"
"4","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of migrants, or potential migrants, reached out by information campaign on migration and risks linked to irregular migration",2015-01-01,2025-12-31,"",""
"5","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of voluntary returns or humanitarian repatriation supported",2015-01-01,2025-12-31,"",""
"6","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of returning migrants benefiting from reintegration assistance",2015-01-01,2025-12-31,"",""
"7","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of Institutions (National and local) and Non-State actors directly supported through capacity building on migration management",2015-01-01,2025-12-31,"",""
"8","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of border stations supported to strengthen border control",2015-01-01,2025-12-31,"",""
"9","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of staff from governmental institutions, internal security forces and relevant non-state actors trained  on security, border management, CVE, conflict prevention, protection of civilian populations and human rights",2015-01-01,2025-12-31,"",""
"10","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people participating in conflict prevention and peace building activities",2015-01-01,2025-12-31,"",""
"11","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of victims of trafficking, assisted or referred to assistance services",2015-01-01,2025-12-31,"",""
"12","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of MSMEs created or supported",2015-01-01,2025-12-31,"",""
"13","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people assisted to develop economic income-generating activities",2015-01-01,2025-12-31,"",""
"14","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people benefiting from professional trainings (TVET) and/or skills development",2015-01-01,2025-12-31,"","19.00"
"15","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of local development plans directly supported",2015-01-01,2025-12-31,"",""
"16","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people receiving basic social services",2015-01-01,2025-12-31,"",""
"17","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people receiving nutrition assistance",2015-01-01,2025-12-31,"",""
"18","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of people receiving food-security related assistance",2015-01-01,2025-12-31,"",""
"19","T05-EUTF-NOA-REG-14-01","EUTF indicators","Number of local governments and/or communities that adopt and implement local disaster risk reduction strategies",2015-01-01,2025-12-31,"",""
"20","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of job placements facilitated and/or supported",2015-01-01,2025-12-31,"",""
"21","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of industrial parks and business infrastructure created, expanded or improved",2015-01-01,2025-12-31,"",""
"22","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Financial volume of new funding instruments for scholarships or self-employment",2015-01-01,2025-12-31,"",""
"23","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Financial volume granted to individual recipients",2015-01-01,2025-12-31,"",""
"24","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Hectares of land benefitting from improved agricultural management",2015-01-01,2025-12-31,"",""
"25","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of people reached by information campaigns on resilience-building practices and basic rights",2015-01-01,2025-12-31,"",""
"26","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of staff from local authorities and basic service providers benefitting from capacity building for strengthening services delivery",2015-01-01,2025-12-31,"",""
"27","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of people having improved access to basic services",2015-01-01,2025-12-31,"",""
"28","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of refugees and forcibly displaced persons receiving legal assistance to support their integration",2015-01-01,2025-12-31,"",""
"29","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of individuals trained on migration management",2015-01-01,2025-12-31,"",""
"30","T05-EUTF-NOA-REG-14-01","EUTF indicators - new","Number of early warning systems on migration flows created",2015-01-01,2025-12-31,"",""
