"iati_id","prefix","title","summary","partner_funding","partner_accountable","partner_extending","partner_implementing","date_start","date_end","budget","recipient_country","location","location_code","topics","oecd_purpose","links","project_parent","project_child","project_sibling"
"T05-EUTF-NOA-REG-14-01","CTR","Durable solutions for Refugee Unaccompanied and Separated Children (Libya and Egypt) and Family Reunification","The overall objective of this project is to improve protection and expand access to durable solutions for unaccompanied and separated children (UASC) and youth along the Central Mediterranean Route (CMR).

**The specific objective is** to reduce risks associated with secondary movement, trafficking and smuggling of children in Libya and Egypt as well as traditional “first” countries of asylum (Ethiopia and Sudan) through comprehensive child protection interventions including family reunification.","EU Trust Fund for Africa",,,"United Nations High Commissioner for Refugees",2021-01-01,2022-12-31,3700000,,,,"TFP.3",,,"T05-EUTF-NOA-REG-14",,
"T05-EUTF-NOA-REG-13-01","CTR","EU-IOM Joint Initiative in North Africa - Top up to Voluntary Humanitarian Return and Reintegration Assistance","This new Action aims to provide an additional indicative number of 15,000 vulnerable or stranded migrants with voluntarily return assistance. The Action is expected to mainly support voluntary humanitarian returns from Libya to their country of origin. In line with the principles of the EU-IOM Joint Initiative, returning migrants should be provided with access to reintegration support in their countries of origin. For those returning to a country where there is no EU-IOM reintegration project in place, reintegration assistance will also be provided through this project. This represents an estimated percentage of 10% or more (i.e. 1,500 or more) of the number of migrants assisted to return. This Action comes as a top up to the EU-IOM Joint Initiative for Migrant Protection and Reintegration in North Africa and will be implemented by the International Organization for Migration (IOM), under which it is expected that the targeted caseload for voluntary return assistance will be exhausted by the end of 2019 or early 2020 if the current pace of voluntary returns is sustained. Reintegration assistance of migrants returning through this Action to countries in the other two windows of the EUTF (Sahel and Lake Chad and Horn of Africa) as soon as channelled through the Joint Initiative in these two regions if additional funding can be identified.","EU Trust Fund for Africa",,,"International Organization for Migration",2020-09-14,,2.4e+07,,,,"TFP.3",,,"T05-EUTF-NOA-REG-13",,
"T05-EUTF-NOA-REG-08-05","CTR","Hand by hand towards better future for migrants and host community in Egypt","Caritas Egypt finds that now is the time for solidarity, for humanitarian assistance and emergency interventions. Through this proposal, Caritas will build on the work done during the past two years, identifying the most vulnerable migrants, refugees and asylum seekers across Alexandria and the north coast governorates. The purpose of this project is to help and assist the targeted families who cannotcover their basic needs and assist them with “monthly cash assistance, winterization and food assistance”as well as to ensure their access to primary, secondary and tertiary health care services. Moreover, the project will offer access to community based organisations (CBOs), youth clubs and cultural venues to enhance social cohesion of the target groups with the hosting community. This component will also be reinforced through advocacy with concerned stakeholders to promote the idea of social cohesion and inclusion. Finally, the project will offer opportunities for self-reliance and economic empowerment for reducing dependency on assistance and aid since the aim of this project is to help the vulnerable families to become resilient, empowered and independent, in order not be a burden on the hosting country, nor on the economic situation, especially in the current context. Caritas will support the livelihood activities by presenting business management trainings, followed with grants, which has a proven impact on refugees and migrants, especially in terms of an improved income situation. Such livelihood interventions can also prepare the persons of concern (POCs) for a potential safe, voluntary and dignified return.","EU Trust Fund for Africa",,,"Caritas Internationaliss",2020-12-15,2023-12-14,1199986,,,,"TFP.3",,,"T05-EUTF-NOA-REG-08",,
"T05-EUTF-NOA-REG-08-04","CTR","Programme d’appui à l’autonomisation et à l’inclusion des populations (PAAIP)","L‟Action est en accord avec la phase III du Programme de Développement et de Protection Régional(RDPP) en Afrique du Nord, et notamment avec son Objectif Stratégique III, puisqu'elle vise à améliorer la protection et la résilience des migrants dans les communautés d'accueil (OG de l’Action) en assurant la protection et les services aux populations vulnérables, y compris les migrants, les réfugiés et lescommunautés d'accueil. L‟Action vise aussi à soutenir l‟accès aux opportunités économiques à travers la promotion du développement de l‟économie locale elle-même, ainsi qu‟à travers la création d‟emploi pour lesmigrants et les communautés d'accueil (OS1). En renforçant les capacités et la collaboration entre lesacteurs locaux, l‟Action vise favoriser la définition des stratégies d‟accès à la fourniture de services de basede qualité au bénéfice de la population locale et des migrants (OS2). En outre, en améliorant les services et en promouvant les actions conjointes entre migrants, OSC et autorités locales, le dialogue social entre les acteurs locaux et la cohésion sociale seront renforcés (OS3).","EU Trust Fund for Africa",,,"CEFA",2020-07-01,2022-12-31,2e+06,,,,,,,"T05-EUTF-NOA-REG-08",,
"T05-EUTF-NOA-REG-08-03","CTR","Building Resilience, Inclusion and Social Cohesion in the Fezzan","In line with the objectives of the EUTF North of Africa (NOA) Monitoring and Evaluation (M&E) Framework Strategic Objective 3, the action aims to strengthen the resilience and protection of those in need. By fostering employment opportunities and a more business-enabling environment, and by promoting social cohesion among migrants, IDPs, returnees and host communities and facilitating their inclusion and protection, the action will hereby show that migrants, IDPs and returnees can contribute positively to their host communities.

The proposed action will contribute to reach two specific objectives of the EUTF-NOA. The first objective, “_self-sufficiency of target groups and host communities, is enhanced_” will be achieved by generating greater economic and livelihood opportunities and an improved business enabling environment. To do so, ACTED and REACH will provide employability and vocational trainings based on labour market assessments, as well as financial (grants) and technical support (capacity-building) to local economic actors to develop a business-enabling environment with diversified livelihood opportunities. The second objective, “_culture of peace and social cohesion are expanded_” will be achieved through the implementation of awareness-raising activities, improved access to services and by reinforcing the capacities of local service providers involved in the protection and the inclusion of vulnerable populations.","EU Trust Fund for Africa",,,"IMPACT Initiatives, Agence d'Aide à la Coopération Technique et au Développement",2020-11-03,2022-11-02,2e+06,,,,"TFP.3",,,"T05-EUTF-NOA-REG-08",,
"T05-EUTF-NOA-REG-08-01","CTR","Promoting Social Cohesion in Libya","The proposed 15-month action brings together the existing presence, expertise and collaboration between Danish Refugee Council (DRC), the International Rescue Committee (IRC) and the Danish Demining Group (DDG) in Tripolitania, to support local communities in Libya to improve their social cohesion by increasing self-reliance and accessing quality services. The Overall Objective is to strengthen protection and resilience of migrants, refugees, IDPs, returnees and host community members in Western Libya.","EU Trust Fund for Africa",,,"IRC International Water and Sanitation Centre, Danish Refugee Council",2020-10-30,,2e+06,,,,"TFP.3",,,"T05-EUTF-NOA-REG-08",,
"T05-EUTF-NOA-REG-06-03","CTR","Towards a Holistic Approach to Labour Migration Governance and Labour Mobility in North Africa (THAMM-Enabel)","THAMM signifie “Vers une approche holistique de la gouvernance des migrations de main-d'œuvre et de lamobilité de la main-d'œuvre en Afrique du Nord”. Le programme ou Action THAMM (Action Document T05 - EUTF-NOA-REG-06) est mis en œuvre conjointement par l’Organisation internationale du Travail (OIT), l’Organisation internationale pour les migrations (OIM), la Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH et l’Agence belge de développement (Enabel), et concerne trois pays d’Afriquedu Nord (le Maroc, la Tunisie et l’Egypte).

Adopter cette approche holistique est essentiel pour maximiser les avantages de la migration et de la mobilité de la main-d'œuvre pour les pays d'origine et de destination ainsi que pour les travailleurs migrantset leurs familles. Le THAMM est conçu en tant que programme régional pour favoriser la migration légale et la mobilité des pays d'Afrique du Nord.L’objectif général du Programme THAMM est de favoriser une migration légale mutuellement bénéfique et la mobilité de main-d’oeuvre, et est atteint grâce à 5 objectifs spécifiques. Alors que l’intervention OIT / OIMvise les objectifs spécifiques 1, 2, 3 et partiellement 5 du Programme THAMM (Action Document T05 - EUTF- NOA-REG-06), les interventions de la GIZ et d’Enabel se focalisent sur l'OS 4 et en partie l'OS 5 du THAMM, à savoir:
OS 4: Des programmes de mobilité sont établis et / ou améliorés.
OS 5: La coopération entre les acteurs concernés dans le domaine de la migration légale et de la mobilité, en particulier le placement, est améliorée.","EU Trust Fund for Africa",,,"ENABEL - Belgian Development Agency",,2023-08-13,5e+06,,,,"TFP.3",,,"T05-EUTF-NOA-REG-06",,
"T05-EUTF-NOA-MA-03-02","CTR","ASSISTANCE AUX PERSONNES MIGRANTES EN SITUATION DE VULNERABILITE AU MAROC: Pour une protection durable des personnes migrantes au niveau régional et national dans le respect de leur dignité","L'action proposée entre en étroite corrélation avec l'objectif principal de l’appel à proposition qui correspond **à l'objectif stratégique 3 du fonds fiduciaire fenêtre Afrique du Nord** (""Renforcer la protection et la résilience des migrants, et des personnes déplacées et des populations hôtes""). Elle est en effet conçue pour offrir des services ensanté mentale, de l’information sur l’accompagnement juridique et une combinaison de services d’urgence aux personnes migrantes les plus vulnérables mais elle vise également la pérennité en s’attachant également à renforcer lescapacités des acteurs opérant au service des personnes migrantes tout en améliorant les mécanismes de concertations multi acteurs et de partage de bonnes pratiques et/ou recommandations avec des actions de plaidoyer au niveau régional et national.","EU Trust Fund for Africa","EU Delegation to Morocco",,"Handicap International",,,1805000,,,,"TFP.3",,,"T05-EUTF-NOA-MA-03",,
"T05-EUTF-NOA-MA-03-01","CTR","ASSISTANCE AUX PERSONNES MIGRANTES EN SITUATION DE VULNERABILITE AU MAROC: PROSAM-Maroc Protection et Santé des Migrants au Maroc","++**L’objectif global **++est de contribuer au renforcement de la protection des personnes migrantes en situation de vulnérabilité transitant, de manière ponctuelle ou prolongée, par les villes de Rabat, Oujda et ses régions.

Afin de contribuer à l’atteinte de l’objectif général, ++**l’objectif spécifique**++suivant a été défini : **« l’accès et la qualité des services de santé (médico-psycho-sociale) et de protection, adaptés aux besoins spécifiques des personnes migrantes en situation de vulnérabilité, est amélioré ».**","EU Trust Fund for Africa","EU Delegation to Morocco",,"Médecins du Monde",,,1900000,,,,"TFP.3",,,"T05-EUTF-NOA-MA-03",,
"T05-EUTF-NOA-LY-12-04","CTR","Libya COVID-19: Protecting most vulnerable populations from the COVID 19 pandemic in Libya","The overall objective of the action is to prevent the spread of COVID-19 and to reduce avoidable morbidity and mortality in Libya. This corresponds to EUTF NOA Strategic Objective 3: to strengthen protection and resilience of those in need. This action builds on the previous programming under the EUTF-funded action entitled “Protectingmost vulnerable populations from the COVID 19 pandemic in Libya (T05-EUTF-NOA-LY-12)”, as well as other activities that IMC is currently implementing to respond to the ongoing global emergency caused by COVID-19.

The specific objective is to improve COVID-19 response in Libya through strengthened capacities of Libyan authorities to address COVID-19 and through direct assistance to most vulnerable populations in Libya, in particular (but not exclusively) migrants and forcibly displaced persons. This aligns with EUTF NOA Specific Objective 3.V: Access to and quality of services for target groups and host communities is improved.","EU Trust Fund for Africa","EU Delegation to Libya",,"International Medical Corps",,,1e+06,,,,"TFP.3",,,"T05-EUTF-NOA-LY-12",,
